name,url,links,phone,categories,address,location,rating,rating_count,email,facebook
Grill Smoke BBQ,https://www.yellowpages.com/chattanooga-tn/mip/grill-smoke-bbq-545918443,{},(423) 269-7988,"['Barbecue Restaurants', 'Restaurants']",4850 Highway 58,"Chattanooga, TN 37416",,,yp-logo@2x.png,
Mission BBQ,https://www.yellowpages.com/chattanooga-tn/mip/mission-bbq-543838350,{'Website': 'https://www.mission-bbq.com'},(423) 933-3098,"['Barbecue Restaurants', 'Caterers', 'Restaurants']",1926 Gunbarrel Rd,"Chattanooga, TN 37421",,,yp-logo@2x.png,
Porker's Bar-B-Que,https://www.yellowpages.com/chattanooga-tn/mip/porkers-bar-b-que-9578009,{'Website': 'http://www.hugedomains.com/domain_profile.cfm?d=porkersbbq&e=com'},(423) 267-2726,"['Barbecue Restaurants', 'Take Out Restaurants', 'Caterers']",1251 Market St,"Chattanooga, TN 37402",five,2,porkersbbq@gmail.com,
Choo Choo Barbque,https://www.yellowpages.com/chattanooga-tn/mip/choo-choo-barbque-456855776,{},(423) 894-7520,"['Barbecue Restaurants', 'Restaurants']",5936 Quintus Loop,"Chattanooga, TN 37421",,,yp-logo@2x.png,
Chubby's Bar-B-Q,https://www.yellowpages.com/chattanooga-tn/mip/chubbys-bar-b-q-1317000,"{'Website': 'http://www.rossvillerestaurant.com', 'View Menu': '/chattanooga-tn/mip/chubbys-bar-b-q-1317000#open-menu'}",(423) 867-4422,"['Barbecue Restaurants', 'Take Out Restaurants', 'Hamburgers & Hot Dogs']",3801 Rossville Blvd,"Chattanooga, TN 37407",,,yp-logo@2x.png,
Mrs T's Blues Spot,https://www.yellowpages.com/chattanooga-tn/mip/mrs-ts-blues-spot-462473727,{},(423) 521-4550,"['Barbecue Restaurants', 'Restaurants']",901 Dodson Ave,"Chattanooga, TN 37406",,,yp-logo@2x.png,
Tasty's BBQ,https://www.yellowpages.com/chattanooga-tn/mip/tastys-bbq-458146921,{},(423) 710-3733,"['Barbecue Restaurants', 'Restaurants']",3220 Wilcox Blvd,"Chattanooga, TN 37411",,,yogi@ribandloin.com,
Fats So's Barbeque,https://www.yellowpages.com/chattanooga-tn/mip/fats-sos-barbeque-475354398,{},(423) 867-4808,"['Barbecue Restaurants', 'Restaurants']",4801 English Ave,"Chattanooga, TN 37407",,,yp-logo@2x.png,
Choo Choo Barbeque,https://www.yellowpages.com/chattanooga-tn/mip/choo-choo-barbeque-2420019,"{'Website': 'http://choochoobbq.com', 'View Menu': '/chattanooga-tn/mip/choo-choo-barbeque-2420019#open-menu'}",(423) 553-8888,"['Barbecue Restaurants', 'Caterers', 'Restaurants']",7910 E Brainerd Rd,"Chattanooga, TN 37421",five,1,jason@gaoutdoorservices.com,
King Smokehouse BBQ On Main,https://www.yellowpages.com/chattanooga-tn/mip/king-smokehouse-bbq-on-main-459284954,{},(423) 475-5937,"['Barbecue Restaurants', 'Restaurants']",1800 E Main St,"Chattanooga, TN 37404",,,allensolomonking@gmail.com,
Madie's Bar-B-Que,https://www.yellowpages.com/chattanooga-tn/mip/madies-bar-b-que-26033401,{},(423) 629-9240,"['Barbecue Restaurants', 'Bars', 'Bar & Grills']",964 Dodson Ave,"Chattanooga, TN 37406",,,yp-logo@2x.png,
Choo Choo BBQ,https://www.yellowpages.com/chattanooga-tn/mip/choo-choo-bbq-10170078,"{'Website': 'http://www.choochoobbqamnicola.com', 'View Menu': '/chattanooga-tn/mip/choo-choo-bbq-10170078#open-menu'}",(423) 622-1802,"['Barbecue Restaurants', 'Caterers', 'Restaurants']",900 Appling St,"Chattanooga, TN 37406",,,yp-logo@2x.png,
Smokey Bones Bar & Fire Grill,https://www.yellowpages.com/chattanooga-tn/mip/smokey-bones-bar-fire-grill-4474470,"{'Website': 'http://www.smokeybones.com', 'View Menu': '/chattanooga-tn/mip/smokey-bones-bar-fire-grill-4474470#open-menu'}",(423) 893-7850,"['Barbecue Restaurants', 'Take Out Restaurants', 'Restaurants']",2225 Gunbarrel Rd,"Chattanooga, TN 37421",two half,5,sanderson@smokeybones.com,
Sugar's Ribs,https://www.yellowpages.com/chattanooga-tn/mip/sugars-ribs-832912,{'Website': 'http://www.sugarsribs.com'},(423) 826-1199,"['Barbecue Restaurants', 'American Restaurants', 'Take Out Restaurants']",2450 15th Ave,"Chattanooga, TN 37404",three,2,events@sugarsribs.com,
Choo Choo Barbecue,https://www.yellowpages.com/chattanooga-tn/mip/choo-choo-barbecue-4461231,"{'Website': 'http://choochoobbqeastridge.com', 'View Menu': '/chattanooga-tn/mip/choo-choo-barbecue-4461231#open-menu'}",(423) 629-1313,"['Barbecue Restaurants', 'American Restaurants', 'Restaurants']",3951 Ringgold Rd,"Chattanooga, TN 37412",,,ChooChooBBQer@yahoo.com,
Urban Stack,https://www.yellowpages.com/chattanooga-tn/mip/urban-stack-461872744,{'Website': 'http://www.urbanstack.com'},(423) 475-5350,"['Barbecue Restaurants', 'American Restaurants', 'Bars']",12 W 13th St,"Chattanooga, TN 37402",five,4,tenley@urbanstack.com,
Hillbilly Willys Bar BQ and Catering Co.,https://www.yellowpages.com/chattanooga-tn/mip/hillbilly-willys-bar-bq-and-catering-co-481101509,{},(423) 821-2272,"['Barbecue Restaurants', 'Caterers', 'Bartending Service']",115 Browns Ferry Rd,"Chattanooga, TN 37419",five,2,jerryoharwood@gmail.com,
Armando's of East Brainerd,https://www.yellowpages.com/chattanooga-tn/mip/armandos-of-east-brainerd-6731779,{'Website': 'https://www.ebburger.com'},(423) 899-3705,"['Barbecue Restaurants', 'American Restaurants', 'Sandwich Shops']",8018 E Brainerd Rd,"Chattanooga, TN 37421",five,2,ebcc@eastbrainerdchurch.org,
Doc Holidays,https://www.yellowpages.com/chattanooga-tn/mip/doc-holidays-527724286,{},(423) 305-1494,"['Barbecue Restaurants', 'American Restaurants', 'Bars']",742 Ashland Ter,"Chattanooga, TN 37415",five,1,yp-logo@2x.png,
Dub's Place,https://www.yellowpages.com/chattanooga-tn/mip/dubs-place-6791122,{},(423) 875-3151,"['Barbecue Restaurants', 'American Restaurants', 'Caterers']",4408 Dayton Blvd,"Chattanooga, TN 37415",five,1,DubsPlace1952@comcast.net,
Outback Steakhouse,https://www.yellowpages.com/chattanooga-tn/mip/outback-steakhouse-470313898,{'Website': 'http://www.outback.com/locations/tn/chattanooga-hamilton-plc'},(423) 899-2600,"['Barbecue Restaurants', 'Steak Houses', 'American Restaurants']",2120 Hamilton Place Blvd,"Chattanooga, TN 37421",three,2,obs4311@outback.com,
Rumors,https://www.yellowpages.com/chattanooga-tn/mip/rumors-4397443,{},(423) 870-3003,"['Barbecue Restaurants', 'Bars', 'Bar & Grills']",3884 Hixson Pike,"Chattanooga, TN 37415",three,2,yp-logo@2x.png,
Logan's Roadhouse,https://www.yellowpages.com/chattanooga-tn/mip/logans-roadhouse-14108388,{'Website': 'http://www.logansroadhouse.com'},(423) 499-4339,"['Barbecue Restaurants', 'American Restaurants', 'Restaurants']",2119 Gunbarrel Rd,"Chattanooga, TN 37421",three,1,investorrelations@logansroadhouse.com,
Puckett's Chattanooga,https://www.yellowpages.com/chattanooga-tn/mip/pucketts-chattanooga-516480487,{'Website': 'http://www.puckettsgrocery.com'},(423) 708-8505,"['Barbecue Restaurants', 'American Restaurants', 'Family Style Restaurants']",2 W Aquarium Way,"Chattanooga, TN 37402",,,yp-logo@2x.png,
Little Coyote,https://www.yellowpages.com/chattanooga-tn/mip/little-coyote-575040420,{'Website': 'https://littlecoyote.com'},(423) 800-7483,"['Barbecue Restaurants', 'Mexican Restaurants', 'Restaurants']",3950 Tennessee Ave,"Chattanooga, TN 37409",,,yp-logo@2x.png,
Chicken-W-Bones,https://www.yellowpages.com/chattanooga-tn/mip/chicken-w-bones-524845616,"{'Website': 'http://chicken-w-bones.com', 'View Menu': '/chattanooga-tn/mip/chicken-w-bones-524845616#open-menu'}",(423) 305-0742,"['Barbecue Restaurants', 'Chicken Restaurants', 'American Restaurants']",6227 Lee Hwy,"Chattanooga, TN 37421",,,cluck@chicken-w-bones.com,
Big River Hamilton Place,https://www.yellowpages.com/chattanooga-tn/mip/big-river-hamilton-place-471098482,"{'Website': 'https://www.bigrivergrille.com', 'View Menu': '/chattanooga-tn/mip/big-river-hamilton-place-471098482#open-menu'}",(423) 553-7723,"['Barbecue Restaurants', 'American Restaurants', 'Brew Pubs']",2020 Hamilton Place Blvd,"Chattanooga, TN 37421",,,info@gbrestaurants.com,
Logan's Roadhouse,https://www.yellowpages.com/chattanooga-tn/mip/logans-roadhouse-14108388,{'Website': 'http://www.logansroadhouse.com'},(423) 499-4339,"['Barbecue Restaurants', 'American Restaurants', 'Restaurants']",2119 Gunbarrel Rd,"Chattanooga, TN 37421",three,1,investorrelations@logansroadhouse.com,
Puckett's Chattanooga,https://www.yellowpages.com/chattanooga-tn/mip/pucketts-chattanooga-516480487,{'Website': 'http://www.puckettsgrocery.com'},(423) 708-8505,"['Barbecue Restaurants', 'American Restaurants', 'Family Style Restaurants']",2 W Aquarium Way,"Chattanooga, TN 37402",,,yp-logo@2x.png,
Little Coyote,https://www.yellowpages.com/chattanooga-tn/mip/little-coyote-575040420,{'Website': 'https://littlecoyote.com'},(423) 800-7483,"['Barbecue Restaurants', 'Mexican Restaurants', 'Restaurants']",3950 Tennessee Ave,"Chattanooga, TN 37409",,,yp-logo@2x.png,
Outback Steakhouse,https://www.yellowpages.com/chattanooga-tn/mip/outback-steakhouse-573634080,{'Website': 'https://locations.outback.com/tennessee/chattanooga/544-northgate-mall-drive'},(423) 870-0980,"['Barbecue Restaurants', 'Steak Houses', 'Take Out Restaurants']",544 Northgate Mall Dr,"Chattanooga, TN 37415",,,yp-logo@2x.png,
Chicken-W-Bones,https://www.yellowpages.com/chattanooga-tn/mip/chicken-w-bones-524845616,"{'Website': 'http://chicken-w-bones.com', 'View Menu': '/chattanooga-tn/mip/chicken-w-bones-524845616#open-menu'}",(423) 305-0742,"['Barbecue Restaurants', 'Chicken Restaurants', 'American Restaurants']",6227 Lee Hwy,"Chattanooga, TN 37421",,,cluck@chicken-w-bones.com,
Big River Hamilton Place,https://www.yellowpages.com/chattanooga-tn/mip/big-river-hamilton-place-471098482,"{'Website': 'https://www.bigrivergrille.com', 'View Menu': '/chattanooga-tn/mip/big-river-hamilton-place-471098482#open-menu'}",(423) 553-7723,"['Barbecue Restaurants', 'American Restaurants', 'Brew Pubs']",2020 Hamilton Place Blvd,"Chattanooga, TN 37421",,,info@gbrestaurants.com,
The Honest Pint,https://www.yellowpages.com/chattanooga-tn/mip/the-honest-pint-460749517,{'Website': 'http://thehonestpint.com'},(423) 468-4192,"['Barbecue Restaurants', 'American Restaurants', 'Bars']",35 Patten Pkwy,"Chattanooga, TN 37402",,,mail@thehonestpint.com,
Palace Food,https://www.yellowpages.com/chattanooga-tn/mip/palace-food-479833835,{'Website': 'http://www.manta.com/c/mbytxgm/palace-food-inc'},(423) 266-3366,"['Barbecue Restaurants', 'Family Style Restaurants', 'Bars']",1110 Market St Ste 101,"Chattanooga, TN 37402",,,lura@publichousechattanooga.com,
Tony's Wildin Wings N More,https://www.yellowpages.com/chattanooga-tn/mip/tonys-wildin-wings-n-more-508565560,{'View Menu': '/chattanooga-tn/mip/tonys-wildin-wings-n-more-508565560#open-menu'},(423) 485-3290,"['Barbecue Restaurants', 'American Restaurants', 'Restaurants']",787 W Main St,"Chattanooga, TN 37402",,,yp-logo@2x.png,
Moe's Original BBQ,https://www.yellowpages.com/chattanooga-tn/mip/moes-original-bbq-530487921,{'Website': 'http://moesoriginalbbq.com'},(423) 531-6637,"['Barbecue Restaurants', 'Barbecue Grills & Supplies', 'Restaurants']",221 Market St,"Chattanooga, TN 37402",,,yp-logo@2x.png,
Naked River Brewing Co,https://www.yellowpages.com/chattanooga-tn/mip/naked-river-brewing-co-546847823,{'Website': 'http://www.nakedriverbrewing.com'},(423) 541-1131,"['Barbecue Restaurants', 'Bars', 'Bar & Grills']",1791 Reggie White Blvd,"Chattanooga, TN 37402",,,yp-logo@2x.png,
Parkway Pourhouse,https://www.yellowpages.com/chattanooga-tn/mip/parkway-pourhouse-545260527,"{'Website': 'https://www.facebook.com/parkwaypourhouse', 'View Menu': '/chattanooga-tn/mip/parkway-pourhouse-545260527#open-menu'}",(423) 498-5300,"['Barbecue Restaurants', 'American Restaurants', 'Sports Bars']",801 Riverfront Pkwy,"Chattanooga, TN 37402",,,George@parkwaypourhouse.com,https://www.facebook.com/parkwaypourhouse
Beast & Barrel,https://www.yellowpages.com/chattanooga-tn/mip/beast-barrel-497691302,"{'Website': 'https://www.beastandbarrel.com', 'View Menu': '/chattanooga-tn/mip/beast-barrel-497691302#open-menu'}",(423) 805-4599,"['Barbecue Restaurants', 'American Restaurants', 'Caterers']",16 Frazier Ave,"Chattanooga, TN 37405",,,feedback@beastandbarrel.com,
Mike's Smokehouse,https://www.yellowpages.com/chattanooga-tn/mip/mikes-smokehouse-507855726,{'Website': 'http://www.mikessmokehouse.com'},(423) 668-8341,"['Barbecue Restaurants', 'Take Out Restaurants', 'Caterers']",3147 Broad St,"Chattanooga, TN 37408",,,yp-logo@2x.png,
T-Roy's,https://www.yellowpages.com/chattanooga-tn/mip/t-roys-460126272,{'View Menu': '/chattanooga-tn/mip/t-roys-460126272#open-menu'},(423) 629-8908,"['Barbecue Restaurants', 'Bars', 'Bar & Grills']",2300 Glass St,"Chattanooga, TN 37406",,,yp-logo@2x.png,
Logan's Roadhouse,https://www.yellowpages.com/chattanooga-tn/mip/logans-roadhouse-465237453,{'Website': 'http://www.logansroadhouse.com'},(423) 821-2948,"['Barbecue Restaurants', 'American Restaurants', 'Restaurants']",3592 Cummings Hwy,"Chattanooga, TN 37419",,,yp-logo@2x.png,
Cook-Out,https://www.yellowpages.com/chattanooga-tn/mip/cook-out-524051116,{'Website': 'http://www.cookout.com'},(423) 893-0371,"['Barbecue Restaurants', 'Fast Food Restaurants', 'Restaurants']",5001 Brainerd Rd,"Chattanooga, TN 37411",,,yp-logo@2x.png,
Dinner Delivered,https://www.yellowpages.com/chattanooga-tn/mip/dinner-delivered-503028276,{'Website': 'http://www.dinnerdeliveredonline.org'},(423) 634-8899,"['Barbecue Restaurants', 'Chinese Restaurants', 'Japanese Restaurants']",4071 S Access Rd Ste 108,"Chattanooga, TN 37406",,,Hays@DinnerDelivered.com,
Logan's Roadhouse,https://www.yellowpages.com/chattanooga-tn/mip/logans-roadhouse-560193633,{'Website': 'http://locations.logansroadhouse.com/ll/US/TN/Chattanooga/504A-Northgate-Mall'},(423) 875-4443,"['Barbecue Restaurants', 'American Restaurants', 'Restaurants']",504 Northgate Mall,"Chattanooga, TN 37415",,,yp-logo@2x.png,
Mexi Wing IX,https://www.yellowpages.com/chattanooga-tn/mip/mexi-wing-ix-541223470,"{'Website': 'https://mexi-wing.com/locations', 'View Menu': '/chattanooga-tn/mip/mexi-wing-ix-541223470#open-menu'}",(423) 468-3366,"['Barbecue Restaurants', 'American Restaurants', 'Restaurants']",6925 Shallowford Rd,"Chattanooga, TN 37421",,,yp-logo@2x.png,
The Bar,https://www.yellowpages.com/chattanooga-tn/mip/the-bar-26043237,{'Website': 'https://meetatthebar.com'},(423) 867-5377,"['Barbecue Restaurants', 'Bars', 'Taverns']",4904 Rossville Blvd,"Chattanooga, TN 37407",,,,
Heavenly Flavored Wings Express,https://www.yellowpages.com/chattanooga-tn/mip/heavenly-flavored-wings-express-462567084,{},(423) 521-6370,"['Barbecue Restaurants', 'Family Style Restaurants', 'American Restaurants']",4631 Highway 58,"Chattanooga, TN 37416",,,yp-logo@2x.png,
Chatt Smoke House,https://www.yellowpages.com/chattanooga-tn/mip/chatt-smoke-house-22790629,"{'Website': 'http://www.chatt-smokehouse.com', 'View Menu': '/chattanooga-tn/mip/chatt-smoke-house-22790629#open-menu'}",(423) 468-4978,"['Barbecue Restaurants', 'American Restaurants', 'Caterers']",416 E Martin Luther King Blvd,"Chattanooga, TN 37403",,,yp-logo@2x.png,
Sing It Or Wing It,https://www.yellowpages.com/chattanooga-tn/mip/sing-it-or-wing-it-456055475,"{'Website': 'http://www.singitorwingitchattanooga.com', 'View Menu': '/chattanooga-tn/mip/sing-it-or-wing-it-456055475#open-menu'}",(423) 757-9464,"['Barbecue Restaurants', 'American Restaurants', 'Sandwich Shops']",410 Market St,"Chattanooga, TN 37402",four,1,gina@singitorwingit-chattanooga.com,
Saks Wing Shak,https://www.yellowpages.com/chattanooga-tn/mip/saks-wing-shak-471960520,"{'Website': 'http://www.sakswingshak.com', 'View Menu': '/chattanooga-tn/mip/saks-wing-shak-471960520#open-menu'}",(423) 499-9959,"['Barbecue Restaurants', 'American Restaurants', 'Take Out Restaurants']",3911 Brainerd Rd,"Chattanooga, TN 37411",three,2,yp-logo@2x.png,
